PostID,UserID,PostDate,Content,Likes,Shares,Comments,HasMedia,Platform,UserFollowers
92,user_17,2025-06-26 17:35:29,Draw world offer beat discuss husband particular yes.,44,6,8,0,TikTok,11431
93,user_36,2025-06-21 13:21:56,Voice vote mean ten half hair cause.,55,10,6,1,Instagram,12182
94,user_39,2025-06-16 15:27:36,Role enjoy yet water the bad show.,32,8,4,1,Twitter,10155
95,user_44,2025-05-29 23:21:04,South few wonder spring wonder practice drop staff data former late.,66,14,5,1,TikTok,7184
96,user_32,2025-06-16 23:46:15,Hotel capital way much off whom who always would.,39,9,9,0,Twitter,11932
97,user_41,2025-06-08 04:37:36,Music yard federal control two physical performance.,63,12,8,1,Twitter,10964
98,user_1,2025-06-12 00:48:36,Moment manage nice either open watch animal.,51,14,9,0,TikTok,11265
99,user_17,2025-06-13 11:03:45,Subject city politics race from happy.,46,9,5,1,TikTok,14926
100,user_46,2025-06-25 04:17:22,High bed pull economy give room within here herself party green.,52,9,5,0,Twitter,13029
101,user_5,2025-06-12 14:10:10,Whom court out develop.,52,11,5,0,Instagram,12276
102,user_38,2025-06-16 07:41:50,Thought political any training or none under night admit customer energy nor war herself.,47,10,9,0,Instagram,10843
103,user_9,2025-06-02 10:18:35,Us station possible.,42,7,8,1,Instagram,11415
104,user_3,2025-06-18 10:12:57,State though star agree argue woman green like.,52,14,10,0,TikTok,10417
105,user_16,2025-06-02 15:39:19,Something meeting way debate leg head sing state generation growth actually answer explain specific free dream forward center state.,53,11,6,0,Instagram,13673
106,user_50,2025-06-07 23:12:46,Your five college particular seven usually tough customer morning office buy us require professional commercial success kind listen.,51,9,10,1,TikTok,14870
107,user_48,2025-06-15 18:28:00,Like TV different process behind actually card beat too.,55,8,6,0,Twitter,7722
108,user_12,2025-06-02 15:27:13,Kind through performance ok buy half member scientist thus.,57,10,10,0,Twitter,10100
109,user_48,2025-06-20 10:34:32,Wrong ground party fact majority stuff treatment.,51,7,9,1,TikTok,13639
110,user_48,2025-06-10 05:02:09,Nice dinner stand teacher national fall great likely suggest tell.,50,5,6,1,Twitter,10425
111,user_45,2025-06-01 09:27:06,Worry something woman public.,47,16,11,1,Twitter,8684
112,user_31,2025-05-31 03:41:44,Should suddenly tree only anyone huge vote talk.,57,8,11,0,Instagram,13498
113,user_23,2025-06-08 13:40:07,End garden responsibility site onto before.,56,10,3,0,Twitter,11523
114,user_2,2025-06-09 14:07:55,Moment father suffer strong soldier center glass allow which tree score state third ever final material.,49,10,6,0,Instagram,10161
115,user_22,2025-06-17 20:31:26,Off arm chair special as any sign camera figure.,56,6,8,0,Instagram,11498
116,user_23,2025-06-19 15:45:01,Both interest fire production listen moment main safe everyone south behavior away fire space.,48,14,6,1,TikTok,16866
117,user_35,2025-06-01 01:46:36,Visit name move yourself get us perform near you century.,48,13,4,0,Twitter,7017
118,user_17,2025-06-01 07:03:29,Modern brother common near.,51,14,11,1,Twitter,9907
119,user_7,2025-06-13 17:55:25,National major central past window interesting property policy sometimes might above heavy direction trial magazine.,46,9,9,1,Instagram,6426
120,user_47,2025-06-13 21:55:01,Month ok politics others result adult read by town same detail seek know.,55,12,3,1,TikTok,10188
121,user_33,2025-06-06 03:39:38,Serious fall that house.,55,8,7,1,TikTok,11821
122,user_13,2025-06-09 02:50:42,Name task have particular land boy.,47,6,13,0,TikTok,13933
123,user_28,2025-06-12 09:17:07,Anyone group window bar.,46,7,9,0,Instagram,10912
124,user_28,2025-05-31 17:24:27,Us respond lot budget state success total.,44,10,8,1,TikTok,10797
125,user_21,2025-06-16 04:49:07,Range model here news who threat feel across vote fine similar road official mean choose operation.,41,13,13,0,TikTok,9372
126,user_20,2025-06-05 01:28:40,Effort almost head see recent add talk for floor over assume develop play chance year apply hear.,57,10,5,1,TikTok,7448
127,user_27,2025-06-08 09:14:03,Believe car down management popular green run quality agent her century summer must.,56,12,11,1,TikTok,5744
128,user_19,2025-06-01 16:16:23,Build carry letter on history music phone here approach increase nearly they word.,54,11,7,0,Twitter,4717
129,user_27,2025-06-12 07:15:12,Itself from official true majority rate identify commercial assume movement how prevent own before natural whom available subject.,51,8,6,1,TikTok,1679
130,user_48,2025-06-04 20:08:22,Guess heavy week trip themselves.,41,9,12,1,Instagram,12402
131,user_36,2025-06-19 18:19:36,Type care few over interest.,51,7,2,1,Instagram,8416
132,user_14,2025-06-07 05:50:57,Seem spend explain cut say sign education of.,50,16,8,1,Instagram,12314
133,user_29,2025-06-14 18:12:44,Raise floor first letter thus customer clearly lead through full company total fire prepare relate.,55,9,7,0,TikTok,9699
134,user_31,2025-06-27 02:52:19,Born action step reality join hope street management.,45,15,6,0,Instagram,9388
135,user_33,2025-06-10 14:04:25,Simply statement interest middle receive say certain a story.,41,9,7,1,Twitter,12653
136,user_49,2025-06-25 17:14:35,Read him project finish once a west bank miss.,53,11,6,1,Twitter,7242
137,user_13,2025-06-11 18:17:01,Modern say have herself cut about face.,58,10,7,0,Twitter,11309
138,user_16,2025-06-25 14:44:44,Mouth upon information general democratic laugh indeed trade machine.,49,11,6,0,Instagram,12711
139,user_27,2025-06-21 14:02:59,Ever respond current tonight hard would both him remain organization day phone can many.,45,8,9,0,TikTok,9816
140,user_45,2025-06-05 06:21:41,Range forget want scene under step its hear reflect return film happen artist ready.,61,10,14,1,Instagram,7792
141,user_16,2025-05-28 21:25:46,Red smile commercial hundred quite partner.,42,13,9,0,Twitter,16187
142,user_50,2025-06-25 10:09:19,Likely rise lead expert certainly lay.,57,19,7,0,Twitter,6797
143,user_45,2025-06-14 09:00:57,Series enter under leader value song yeah spend serious really series system career even.,51,7,11,1,Twitter,12521
144,user_36,2025-06-01 16:10:05,Sense growth wonder whether man.,39,6,11,0,Instagram,11640
145,user_9,2025-06-15 17:05:54,Each choice affect statement data see time production minute enter respond visit response author.,54,8,5,1,Instagram,11541
146,user_40,2025-05-31 06:54:22,Become sing somebody age me care family anyone.,59,13,11,1,TikTok,10538
147,user_29,2025-06-03 08:26:57,He shake agreement standard bit position.,48,8,9,1,Instagram,11101
148,user_17,2025-06-06 23:22:56,Mean many man institution option.,39,8,9,1,TikTok,15514
149,user_32,2025-06-24 10:49:40,Rest yes participant second his lead they four figure throw perhaps establish choice note.,38,13,8,0,Instagram,10795
150,user_29,2025-06-02 07:39:53,Rule trip option parent.,51,9,11,1,Twitter,11925
151,user_18,2025-05-31 05:50:18,Data attack light director note heart.,48,11,6,1,TikTok,8712
152,user_6,2025-06-26 15:04:23,Occur degree actually official position analysis.,50,11,3,0,Twitter,7922
153,user_25,2025-06-01 19:48:46,Statement realize let bar stock.,44,5,8,0,Twitter,10310
154,user_27,2025-06-10 11:53:38,Include yes want back concern worry their change dog street light.,59,6,10,1,TikTok,3513
155,user_30,2025-06-02 21:21:41,Plant sister themselves about hotel history every arrive.,53,7,7,0,Twitter,9606
156,user_27,2025-06-04 17:29:07,Art offer coach hit guess instead keep.,38,16,8,0,TikTok,10230
157,user_25,2025-05-30 09:03:04,Sound change everybody do network officer prevent teacher first drive.,36,6,5,0,Instagram,4121
158,user_20,2025-05-29 18:38:57,Capital significant sing baby customer idea heart stop bad when color specific better keep.,55,9,12,1,TikTok,12197
159,user_48,2025-06-17 00:37:46,Child fight social enter sound certain various poor girl alone will.,54,9,5,0,Instagram,13930
160,user_15,2025-06-09 11:00:26,Through political thus throw figure force class.,47,9,9,1,Instagram,14187
161,user_2,2025-06-08 21:37:58,Since especially play consumer audience edge ago.,48,6,13,1,TikTok,5287
162,user_44,2025-06-20 10:50:05,Himself wife popular the government rise until choose piece born.,51,10,6,0,Instagram,6619
163,user_9,2025-06-07 20:42:37,Become art hot continue within pick day tend picture himself common.,47,8,10,0,Instagram,8604
164,user_38,2025-06-08 21:46:29,Upon guess land practice daughter purpose box in pay face suggest necessary between scientist benefit.,49,15,9,0,Twitter,9682
165,user_42,2025-06-15 23:09:50,Sea animal forward religious this ground exactly.,50,11,12,0,Instagram,13497
166,user_12,2025-06-27 02:28:17,Even various notice concern travel both.,60,14,8,1,Instagram,9386
167,user_21,2025-06-09 19:10:17,Security human item resource successful during third shoulder as.,46,13,6,1,Instagram,11545
168,user_22,2025-06-15 16:05:23,Fill operation without success she risk expert live final kid.,41,11,5,1,Instagram,12146
169,user_17,2025-06-19 05:14:16,Finish plant across economic.,40,17,7,1,Twitter,9515
170,user_48,2025-06-27 15:19:22,Begin conference seem next human loss by few side.,46,8,11,0,Instagram,7871
171,user_15,2025-06-19 13:10:04,Throughout assume arrive public discover these assume mouth research black everybody.,60,9,9,0,TikTok,7783
172,user_3,2025-06-12 12:39:04,Question onto peace line.,50,6,3,0,Twitter,12669
173,user_2,2025-06-03 21:45:29,Blue under before forward least deep tough herself summer care big thank owner pass drug.,50,8,2,0,Twitter,12475
174,user_9,2025-06-08 09:55:54,Side late pattern relationship even determine wear speech author pretty nature do trouble.,46,9,11,0,TikTok,7398
175,user_14,2025-06-15 11:50:14,Light current senior speech affect agency unit key newspaper in measure.,53,12,9,1,Instagram,10001
176,user_11,2025-06-13 06:03:44,Discover world push begin statement quite together could hold both.,49,7,8,0,Twitter,11803
177,user_20,2025-06-05 02:59:09,Or husband ago sort thus test friend attack.,60,12,8,0,Instagram,9014
178,user_37,2025-05-28 18:16:45,World human commercial those anyone reach care magazine play sometimes teach science many soldier threat call.,47,5,5,1,Instagram,11809
179,user_46,2025-06-24 01:39:05,Difference involve short marriage which win.,40,10,7,0,TikTok,12146
180,user_45,2025-06-14 04:32:52,If usually soon alone significant understand responsibility any once board point minute pay hour free full author painting hair.,40,6,5,0,Twitter,12154
181,user_45,2025-06-09 03:39:05,What everything man approach gas health bank professor why technology.,58,13,5,0,TikTok,9472
182,user_3,2025-06-20 02:14:18,Realize under toward action could you why other somebody story field administration.,69,9,8,1,TikTok,14984
183,user_24,2025-06-24 03:06:30,Model firm foot some information edge star interview.,54,8,4,1,Twitter,7494
184,user_27,2025-06-19 00:15:54,Exactly rise boy sell table design also especially figure above recently.,51,10,6,0,Instagram,16268
185,user_24,2025-06-19 01:19:15,Third put food nor true rich get experience from deep run resource draw per movement.,42,7,15,1,TikTok,10488
186,user_10,2025-06-22 22:03:08,Process seat media wind really benefit usually decision product send.,43,18,10,0,TikTok,10124
187,user_34,2025-06-17 07:24:10,Game class pick into risk vote why trade walk coach large almost test door staff behavior food score.,50,16,7,1,TikTok,16299
188,user_35,2025-06-23 21:27:32,Account school safe onto choice soldier network she.,40,9,11,1,Instagram,9258
189,user_47,2025-06-14 02:31:40,Direction management hospital least here everybody hard wind young space recent kitchen a television listen knowledge early.,51,11,5,1,Instagram,8778
190,user_16,2025-06-14 22:31:07,Industry family rather when collection cut.,66,9,12,1,Instagram,12058
191,user_16,2025-06-16 13:19:10,Cold feel may keep fish government provide since sense.,43,14,7,1,Instagram,13111
192,user_2,2025-06-22 17:57:58,Shake only most range practice the strong simply natural down.,53,14,5,1,Twitter,12221
193,user_32,2025-06-22 12:26:43,Catch a control want president several traditional bed.,48,7,2,1,Instagram,12038
194,user_22,2025-06-03 13:49:49,Set girl see write approach able sometimes.,55,9,12,1,TikTok,6553
195,user_1,2025-06-15 21:14:43,Public plant make condition performance simple home here produce husband provide right quite rate develop father north.,51,11,15,0,Twitter,8392
196,user_16,2025-06-05 23:32:29,Whom assume poor involve on husband beat price image baby beat arrive they.,47,12,8,1,TikTok,11620
197,user_49,2025-06-26 18:13:04,Sound sit party community minute action cause leave realize must.,58,9,11,1,TikTok,8563
198,user_46,2025-05-31 11:38:31,Receive record guy small why prepare total.,45,7,5,1,Twitter,7411
199,user_6,2025-06-11 17:36:06,Call through center conference interview return no away bill administration organization.,51,8,8,0,Instagram,8703
200,user_45,2025-06-22 21:38:20,Summer represent something land board partner admit plant north.,47,11,6,1,TikTok,9510
201,user_38,2025-05-29 09:15:30,Company mind new out author whatever hotel.,49,4,8,1,TikTok,7514
202,user_34,2025-06-08 05:36:33,Them people five thus spring left.,50,8,6,1,TikTok,8011
203,user_36,2025-06-22 04:45:32,White adult stock significant under major receive open soon idea.,52,11,6,1,TikTok,11966
204,user_30,2025-06-13 10:40:37,Memory movie born soldier never term.,39,14,6,1,Instagram,5390
205,user_15,2025-06-05 09:29:51,Able condition lead store help.,49,9,4,0,Instagram,7406
206,user_8,2025-06-26 14:51:35,Human western interview fear visit speak involve three can focus Mr about such floor foreign.,49,9,6,0,Twitter,9577
207,user_14,2025-06-25 07:03:31,Each sit understand fear remain customer pattern seek.,43,12,4,1,TikTok,15115
208,user_38,2025-06-25 17:29:32,Small lawyer get less sport her report author.,52,5,11,1,Twitter,9097
209,user_13,2025-06-01 03:27:48,Season forget under must morning bag year show season leave.,62,10,12,0,Instagram,8351
210,user_12,2025-06-25 20:41:18,Agreement for war just begin three perform away.,49,8,7,0,TikTok,12578
211,user_35,2025-06-25 03:54:50,Financial doctor hold none.,42,4,9,1,Twitter,5946
212,user_4,2025-06-05 18:50:57,Across fight reflect organization customer campaign contain.,46,17,8,1,TikTok,6032
213,user_9,2025-06-12 08:41:26,Reduce perhaps information impact history name similar box decade region source if wear out chance or despite position strong blue.,59,12,6,1,Twitter,12927
214,user_1,2025-06-02 12:22:16,Dog lose difference of cause employee everyone perhaps various wide and particular cut list material never better worry word.,50,5,5,1,Instagram,12755
215,user_31,2025-06-21 07:58:36,Live case herself social dog just agency executive.,50,7,10,1,Twitter,10001
216,user_4,2025-06-03 09:22:58,Help learn perform alone near machine tree plan stock new western.,48,11,5,1,Twitter,6108
217,user_5,2025-06-22 13:49:04,Blue try boy space itself final wide worker nature senior child.,43,15,4,1,Twitter,17862
218,user_37,2025-06-12 12:33:35,Cold name side goal speak kitchen outside ever market item.,53,7,13,0,Twitter,6664
219,user_10,2025-05-31 04:28:17,Lose structure heavy class born practice western left another article most still when record.,48,15,7,1,Twitter,13600
220,user_16,2025-06-17 02:21:10,Gun relationship sometimes goal former could hour.,51,7,7,1,TikTok,8524
221,user_39,2025-06-23 16:19:40,Something fire room himself drug check join rise spend base spring six apply south trade loss room.,44,10,11,0,TikTok,14210
222,user_25,2025-06-08 00:27:06,Behind time spend which consider phone special official better food science quality almost five.,42,11,8,1,Instagram,12093
223,user_38,2025-06-01 01:12:56,Policy join short research their account service identify every change wish agree claim.,44,9,8,1,TikTok,6724
224,user_40,2025-06-02 11:09:02,Actually determine pass though.,64,8,9,0,Twitter,12670
225,user_41,2025-06-07 11:39:09,Television matter model boy three with tend staff bit school.,38,9,2,1,TikTok,9002
226,user_6,2025-06-23 22:24:22,Stock resource politics finish address action.,51,12,10,0,Twitter,11474
227,user_36,2025-06-18 01:51:05,Look force ever turn could her.,55,7,5,0,Twitter,13245
228,user_27,2025-06-14 15:19:27,Reality any ever we most other start prevent detail good surface.,44,13,13,1,Instagram,6063
229,user_3,2025-06-18 01:23:56,Seat newspaper whom vote ball miss pattern water.,44,8,11,1,TikTok,15887
230,user_19,2025-06-23 20:23:04,Professor cut billion commercial pay art you not.,54,8,8,0,TikTok,10011
231,user_15,2025-06-17 05:52:32,Specific ask east radio course.,56,10,8,0,Instagram,9778
232,user_8,2025-06-08 19:10:16,History street magazine girl agent direction poor budget.,38,12,11,0,TikTok,8645
233,user_10,2025-06-05 04:55:48,New whether college speech his me.,58,8,7,0,Twitter,9469
234,user_4,2025-06-16 17:30:44,Threat person baby Mr nice expect success.,45,6,9,1,TikTok,5354
235,user_48,2025-06-27 08:06:55,Walk happen usually change Republican range scientist suffer particularly hard as nation important your third help provide road.,45,12,6,1,Instagram,4245
236,user_8,2025-06-01 09:21:59,Edge develop particular moment board establish country charge back effort Democrat program away main real.,51,6,6,1,TikTok,9549
237,user_26,2025-06-18 20:21:52,Arrive send edge nature teach occur.,46,10,14,1,Instagram,8726
238,user_6,2025-06-23 00:59:04,Adult fly usually with build address artist fill section face serious color structure find move training vote your.,59,8,8,0,Instagram,13107
239,user_48,2025-06-09 12:33:34,Magazine because significant run eat million point law American scene trade environmental.,44,9,5,1,Twitter,8355
240,user_6,2025-06-03 02:20:53,Community protect wear make choose glass soon window keep.,51,9,7,0,TikTok,12500
241,user_18,2025-05-30 07:07:54,It future audience option respond news grow something star tree available order call.,44,7,3,0,Twitter,8088
242,user_31,2025-06-16 21:50:14,Lead career guess hope look deal politics whose.,49,5,6,1,Instagram,11375
243,user_12,2025-06-17 20:48:51,Alone run especially prove know two medical mother sort less it plant stock.,49,6,8,1,TikTok,10423
244,user_32,2025-05-29 20:25:16,Pull surface fire service voice the culture.,52,10,5,1,Instagram,3608
245,user_27,2025-06-21 05:45:59,Decision cause agreement city theory stuff hospital design.,44,12,7,1,TikTok,7807
246,user_7,2025-06-25 15:20:49,Water weight on pull above body sport.,54,16,5,1,Instagram,12273
247,user_45,2025-06-02 16:53:55,Drug sea wide health perform yard inside cover cup.,47,16,10,1,TikTok,12973
248,user_26,2025-06-15 16:04:53,Different after almost TV north deep economy rise thing state despite check purpose our game.,46,4,7,0,Instagram,13115
249,user_6,2025-06-13 19:15:01,Box go trial must in person.,39,11,12,1,Instagram,7153
250,user_8,2025-06-23 06:01:40,Benefit too election energy baby hospital quickly phone serious key food body model Mr it.,48,8,6,0,TikTok,15242
251,user_35,2025-06-08 06:26:16,Opportunity computer seem officer common within game.,55,8,7,1,Twitter,12556
252,user_13,2025-06-20 08:44:33,Hold growth reduce recent debate town question rise yes whole wide.,63,11,6,1,TikTok,13754
253,user_49,2025-06-26 06:43:30,Such product firm federal fill a arm low future concern.,52,7,6,1,Twitter,4767
254,user_14,2025-06-22 04:37:36,Decide example information prove town likely focus industry ever.,64,19,4,0,Instagram,11746
255,user_29,2025-06-23 01:39:44,Process attorney usually home cell somebody again gun choice ability institution often machine tend.,44,7,9,0,Twitter,5441
256,user_41,2025-06-03 15:26:21,Child power pay less order others become late space war we hold fund south.,58,9,9,0,TikTok,1503
257,user_11,2025-06-27 02:11:58,Go option face plan million city arrive.,49,6,9,0,TikTok,12143
258,user_27,2025-06-10 00:51:05,Democratic magazine himself some institution just election green.,48,13,7,0,Twitter,3850
